2016-12-05 11:13:19,023 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2016-12-05 11:13:19,029 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-05 11:13:19,031 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/Flavosaurus/FlavosaurusJPA/src/test/resources
2016-12-05 12:32:59,735 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-05 12:32:59,743 [Worker-66] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-12-05 12:32:59,746 [Worker-66] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-05 12:32:59,751 [Worker-66] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/Flavosaurus/FlavosaurusJPA/src/test/resources
2016-12-05 12:42:11,555 [Worker-71] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: FlavosaurusWEB:FlavosaurusWEB:0.0.1-SNAPSHOT @ /Users/Jolteon/Flavosaurus/FlavosaurusWEB/pom.xml.
2016-12-05 12:42:13,617 [Worker-71] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /FlavosaurusWEB/src
2016-12-05 12:42:13,617 [Worker-71] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /FlavosaurusWEB/src/test/java because it overlaps with /FlavosaurusWEB/src
2016-12-05 12:42:13,823 [Worker-71] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-12-05 12:42:13,867 [Worker-71] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: FlavosaurusWEB:FlavosaurusWEB:0.0.1-SNAPSHOT @ /Users/Jolteon/Flavosaurus/FlavosaurusWEB/pom.xml.
2016-12-05 12:42:14,572 [Worker-71] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /FlavosaurusWEB/src
2016-12-05 12:42:14,573 [Worker-71] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /FlavosaurusWEB/src/test/java because it overlaps with /FlavosaurusWEB/src
2016-12-05 12:42:14,678 [Worker-71] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for FlavosaurusWEB
2016-12-05 12:42:14,709 [Worker-71] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2016-12-05 12:42:14,829 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-05 12:42:14,831 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/Flavosaurus/FlavosaurusWEB/src/main/resources
2016-12-05 12:42:14,833 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-05 12:42:14,834 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/Flavosaurus/FlavosaurusWEB/src/test/resources
2016-12-05 12:42:14,835 [Worker-75] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of FlavosaurusWEB
2016-12-05 12:42:14,836 [Worker-75] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for FlavosaurusWEB
2016-12-05 12:42:14,842 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-clean-plugin:jar:2.5 is missing, no dependency information available
2016-12-05 12:42:14,854 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-05 13:07:47,476 [Worker-85] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: FlavosaurusWEB:FlavosaurusWEB:0.0.1-SNAPSHOT @ /Users/Jolteon/Flavosaurus/FlavosaurusWEB/pom.xml.
2016-12-05 13:07:49,171 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-05 13:07:49,173 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/Flavosaurus/FlavosaurusWEB/src/main/resources
2016-12-05 13:07:49,174 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-05 13:07:49,175 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/Flavosaurus/FlavosaurusWEB/src/test/resources
2016-12-05 13:07:49,176 [Worker-85] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of FlavosaurusWEB
2016-12-05 13:07:49,176 [Worker-85] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for FlavosaurusWEB
2016-12-05 13:07:49,186 [Worker-85] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-05 14:01:24,677 [Worker-112] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-05 14:01:24,678 [Worker-112] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/Flavosaurus/FlavosaurusWEB/src/main/resources
2016-12-05 14:01:24,680 [Worker-112] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-05 14:01:24,682 [Worker-112] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/Flavosaurus/FlavosaurusWEB/src/test/resources
2016-12-05 14:02:53,868 [Worker-114] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-05 14:02:53,874 [Worker-114] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/Flavosaurus/FlavosaurusWEB/src/main/resources
2016-12-05 14:02:53,876 [Worker-114] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-05 14:02:53,877 [Worker-114] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/Flavosaurus/FlavosaurusWEB/src/test/resources
2016-12-05 14:03:14,116 [Worker-119] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-05 14:03:14,118 [Worker-119] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Jolteon/Flavosaurus/FlavosaurusWEB/src/main/resources
